house_title,house_unit_price
新华绿洲 现代精装 五明户型 结婚房 视野好,单价15855元/平米
新华绿洲 现代精装 五明户型 结婚房 视野好,单价15855元/平米
新华绿洲多层中间楼层2室+仅此一套,单价15807元/平米
新华绿洲多层中间楼层2室+仅此一套,单价15807元/平米
亿达世纪城精装三室两厅 户型方正 位置安静 采光好,单价20000元/平米
亿达世纪城精装三室两厅 户型方正 位置安静 采光好,单价20000元/平米
亿达世纪城 品字格三室 精装修,单价22556元/平米
亿达世纪城 品字格三室 精装修,单价22556元/平米
亿达世纪城 3室2厅 225万,单价20405元/平米
亿达世纪城 3室2厅 225万,单价20405元/平米
精装一室 户型方正 保持好 房主诚心出售 带露台,单价23995元/平米
精装一室 户型方正 保持好 房主诚心出售 带露台,单价23995元/平米
大纺 唯美品格 精装花园洋房 带阁楼 露台 80中,单价26830元/平米
大纺 唯美品格 精装花园洋房 带阁楼 露台 80中,单价26830元/平米
唯美品格 双南一北 五明户型 精装修 格局好采光佳,单价23980元/平米
唯美品格 双南一北 五明户型 精装修 格局好采光佳,单价23980元/平米
精装好房 有家电家具 错过了不再有的好房,单价17095元/平米
精装好房 有家电家具 错过了不再有的好房,单价17095元/平米
新华绿洲80中学校浅色装修两室中间楼层近车站近学校,单价16008元/平米
新华绿洲80中学校浅色装修两室中间楼层近车站近学校,单价16008元/平米
亿达世纪城 3室2厅 258万,单价19891元/平米
亿达世纪城 3室2厅 258万,单价19891元/平米
新华绿洲 送阁楼位置好 房主诚售,单价13940元/平米
新华绿洲 送阁楼位置好 房主诚售,单价13940元/平米
亿达世纪城 3室2厅 255万,单价20690元/平米
亿达世纪城 3室2厅 255万,单价20690元/平米
80中，东西格局，5楼中间楼层两室，大阳台,单价9361元/平米
80中，东西格局，5楼中间楼层两室，大阳台,单价9361元/平米
唯美品格松下精装两室中间楼层80中拎包即住,单价25483元/平米
唯美品格松下精装两室中间楼层80中拎包即住,单价25483元/平米
唯美南向一室，装修保持好，位置好，采光好，视野开阔,单价26776元/平米
唯美南向一室，装修保持好，位置好，采光好，视野开阔,单价26776元/平米
大纺唯美品格欧式洋房 精装南北大3居 近80中近地铁,单价25504元/平米
大纺唯美品格欧式洋房 精装南北大3居 近80中近地铁,单价25504元/平米
大纺南北通厅精装两室 交通便利 配套完善 拎包入住,单价15004元/平米
大纺南北通厅精装两室 交通便利 配套完善 拎包入住,单价15004元/平米
大纺80中 亿达世纪城南北精装三室  近车站交通便利,单价20284元/平米
大纺80中 亿达世纪城南北精装三室  近车站交通便利,单价20284元/平米
大纺壹品天城精装一居室中间楼层80中,单价24516元/平米
大纺壹品天城精装一居室中间楼层80中,单价24516元/平米
80中 二室 南北向 不把头 中间楼层 近市场,单价11751元/平米
80中 二室 南北向 不把头 中间楼层 近市场,单价11751元/平米
